NAME,BOYS 2012 RANK,GIRLS 2012 RANK,BOYS 2022 RANK,GIRLS 2022 RANK
Lottie,N/A,N/A,N/A,950
Louie,N/A,N/A,711,N/A
Louis,312,N/A,246,N/A
Louisa,N/A,N/A,N/A,825
Louise,N/A,N/A,N/A,638
Love,N/A,N/A,N/A,754
Loyal,N/A,N/A,702,N/A
Luca,223,N/A,28,N/A
Lucas,27,N/A,8,N/A
Lucca,919,N/A,503,N/A
Lucia,N/A,248,N/A,126
Lucian,586,N/A,545,N/A
Luciana,N/A,555,N/A,360
Luciano,606,N/A,369,N/A
Lucille,N/A,394,N/A,281
Lucy,N/A,66,N/A,48
Luella,N/A,N/A,N/A,996
Luis,90,N/A,125,N/A
Luisa,N/A,N/A,N/A,885
Luka,641,N/A,117,N/A
Lukas,232,N/A,235,N/A
Luke,37,N/A,34,N/A
Luna,N/A,223,N/A,10
Lux,N/A,N/A,981,N/A
Luz,N/A,864,N/A,943
Lydia,N/A,95,N/A,93
Lyla,N/A,146,N/A,105
Lylah,N/A,634,N/A,589
Lyra,N/A,N/A,N/A,497
Lyric,830,295,N/A,469
Mabel,N/A,N/A,N/A,312
Mac,N/A,N/A,605,N/A
Macey,N/A,833,N/A,N/A
Maci,N/A,212,N/A,644
Macie,N/A,371,N/A,537
Mack,958,N/A,505,N/A
Mackenzie,N/A,71,N/A,141
Macy,N/A,338,N/A,722
Madalyn,N/A,450,N/A,999
Madalynn,N/A,636,N/A,N/A
Madden,552,N/A,655,N/A
Maddie,N/A,N/A,N/A,940
Maddison,N/A,350,N/A,491
Maddox,167,N/A,179,N/A
Madeleine,N/A,289,N/A,384
Madeline,N/A,96,N/A,102
Madelyn,N/A,67,N/A,60
Madelynn,N/A,398,N/A,470
Madilyn,N/A,287,N/A,330
Madilynn,N/A,557,N/A,566
Madison,N/A,9,N/A,34
Madisyn,N/A,405,N/A,808
Madyson,N/A,598,N/A,N/A
Mae,N/A,750,N/A,510
Maeve,N/A,529,N/A,104
Magdalena,N/A,N/A,N/A,915
Maggie,N/A,246,N/A,295
Magnolia,N/A,N/A,N/A,151
Magnus,N/A,N/A,780,N/A
Maia,N/A,722,N/A,420
Maisie,N/A,N/A,N/A,347
Maison,979,N/A,N/A,N/A
Maisy,N/A,N/A,N/A,988
Major,483,N/A,441,N/A
Makai,682,N/A,520,N/A
Makayla,N/A,69,N/A,393
Makenna,N/A,229,N/A,398
Makenzie,N/A,150,N/A,511
Makhi,872,N/A,N/A,N/A
Malachi,168,N/A,162,N/A
Malakai,571,N/A,231,N/A
Malaki,968,N/A,N/A,N/A
Malani,N/A,N/A,N/A,395
Malaya,N/A,787,N/A,710
Malayah,N/A,N/A,N/A,839
Malaysia,N/A,569,N/A,609
Malcolm,466,N/A,285,N/A
Maleah,N/A,637,N/A,992
Malia,N/A,355,N/A,264
Maliah,N/A,931,N/A,N/A
Malik,340,N/A,395,N/A
Maliyah,N/A,378,N/A,523
Mallory,N/A,325,N/A,532
Manuel,246,N/A,315,N/A
Mara,N/A,800,N/A,620
Marc,601,N/A,N/A,N/A
Marcel,882,N/A,660,N/A
Marceline,N/A,N/A,N/A,675
Marcellus,N/A,N/A,760,N/A
Marcelo,789,N/A,543,N/A
Marco,269,N/A,372,N/A
Marcos,345,N/A,491,N/A
Marcus,149,N/A,237,N/A
Maren,N/A,N/A,N/A,500
Margaret,N/A,178,N/A,128
Margo,N/A,N/A,N/A,617
Margot,N/A,N/A,N/A,193
Maria,N/A,101,N/A,91
Mariah,N/A,108,N/A,345
Mariam,N/A,620,N/A,570
Mariana,N/A,313,N/A,243
Marianna,N/A,911,N/A,814
Marie,N/A,576,N/A,599
Marigold,N/A,N/A,N/A,833
Marilyn,N/A,426,N/A,696
Marina,N/A,644,N/A,646
Mario,253,N/A,366,N/A
Marisa,N/A,976,N/A,N/A
Marisol,N/A,711,N/A,822
Marissa,N/A,320,N/A,N/A
Maritza,N/A,838,N/A,N/A
Mariyah,N/A,674,N/A,N/A
Mark,176,N/A,247,N/A
Markus,825,N/A,N/A,N/A
Marlee,N/A,530,N/A,454
Marleigh,N/A,N/A,N/A,711
Marlene,N/A,983,N/A,N/A
Marley,N/A,259,N/A,277
Marlon,694,N/A,991,N/A
Marlowe,N/A,N/A,N/A,781
Marquis,760,N/A,N/A,N/A
Marshall,348,N/A,384,N/A
Martha,N/A,730,N/A,725
Martin,265,N/A,305,N/A
Marvin,469,N/A,612,N/A
Mary,N/A,123,N/A,136
Maryam,N/A,680,N/A,432
Masen,724,N/A,N/A,N/A
Mason,2,N/A,24,N/A
Mateo,138,N/A,11,N/A
Mathew,425,N/A,881,N/A
Mathias,671,N/A,396,N/A
Matias,563,N/A,196,N/A
Matilda,N/A,658,N/A,415
Matteo,412,N/A,184,N/A
Matthew,12,N/A,39,N/A
Matthias,680,N/A,465,N/A
Mattie,N/A,917,N/A,N/A
Maurice,504,N/A,N/A,N/A
Mauricio,472,N/A,647,N/A
Maverick,356,N/A,40,N/A
Mavis,N/A,N/A,N/A,680
Max,105,N/A,156,N/A
Maxim,683,N/A,N/A,N/A
Maximilian,464,N/A,566,N/A
Maximiliano,320,N/A,268,N/A
Maximo,920,N/A,661,N/A
Maximus,206,N/A,270,N/A
Maxine,N/A,N/A,N/A,614
Maxton,884,N/A,964,N/A
Maxwell,116,N/A,173,N/A
Maya,N/A,63,N/A,51
Mayson,695,N/A,N/A,N/A
Mccoy,N/A,N/A,860,N/A
Mckayla,N/A,701,N/A,N/A
Mckenna,N/A,226,N/A,291
Mckenzie,N/A,152,N/A,355
Mckinley,N/A,457,N/A,654
Meadow,N/A,951,N/A,406
Megan,N/A,199,N/A,729
Meghan,N/A,886,N/A,N/A
Meilani,N/A,N/A,N/A,952
Meir,N/A,N/A,992,N/A
Mekhi,505,N/A,950,N/A
Melanie,N/A,77,N/A,130
Melany,N/A,484,N/A,623
Melina,N/A,645,N/A,639
Melissa,N/A,177,N/A,377
Melody,N/A,174,N/A,109
Melvin,621,N/A,830,N/A
Memphis,751,N/A,442,N/A
Mercedes,N/A,706,N/A,N/A
Mercy,N/A,N/A,N/A,797
Meredith,N/A,668,N/A,549
Messiah,387,N/A,188,N/A
Mia,N/A,8,N/A,8
Miah,N/A,587,N/A,N/A
Micah,103,873,90,N/A
Michael,8,N/A,16,N/A
Michaela,N/A,433,N/A,585
Micheal,664,N/A,N/A,N/A
Michelle,N/A,162,N/A,380
Miguel,130,N/A,185,N/A
Mikaela,N/A,592,N/A,687
Mikayla,N/A,238,N/A,616
Mike,858,N/A,N/A,N/A
Mila,N/A,115,N/A,19
Milan,N/A,724,324,660
Milana,N/A,948,N/A,766
Milani,N/A,N/A,N/A,234
Milania,N/A,826,N/A,N/A
Milena,N/A,965,N/A,772
Miles,111,N/A,55,N/A
Miley,N/A,335,N/A,704
Miller,N/A,N/A,601,N/A
Millie,N/A,717,N/A,127
Milo,330,N/A,120,N/A
Mina,N/A,834,N/A,611
Mira,N/A,665,N/A,483
Miracle,N/A,416,N/A,419
Miranda,N/A,213,N/A,546
Miriam,N/A,314,N/A,265
Misael,809,N/A,793,N/A
Mitchell,463,N/A,815,N/A
Miya,N/A,918,N/A,N/A
Mohamed,439,N/A,564,N/A
Mohammad,595,N/A,555,N/A
Mohammed,555,N/A,714,N/A
Moises,450,N/A,578,N/A
Mollie,N/A,650,N/A,N/A
Molly,N/A,90,N/A,199
Monica,N/A,434,N/A,745
Monroe,N/A,949,N/A,544
Morgan,587,82,538,213
Moriah,N/A,874,N/A,N/A
Moses,546,N/A,517,N/A
Moshe,542,N/A,501,N/A
Muhammad,467,N/A,297,N/A
Murphy,N/A,N/A,885,665
Musa,N/A,N/A,716,N/A
Mustafa,902,N/A,873,N/A
Mya,N/A,124,N/A,302
Myah,N/A,604,N/A,N/A
Myla,N/A,399,N/A,185
Mylah,N/A,N/A,N/A,440
Myles,222,N/A,112,N/A
Mylo,N/A,N/A,652,N/A
Myra,N/A,875,N/A,561
Nadia,N/A,293,N/A,437
Nahla,N/A,921,N/A,N/A
Nala,N/A,N/A,N/A,804
Nalani,N/A,N/A,N/A,556
Nancy,N/A,651,N/A,997
Naomi,N/A,81,N/A,46
Nash,521,N/A,251,N/A
Nasir,564,N/A,375,N/A
Natalee,N/A,648,N/A,N/A
Natalia,N/A,119,N/A,79
Natalie,N/A,17,N/A,55
Nataly,N/A,564,N/A,N/A
Natalya,N/A,945,N/A,N/A
Natasha,N/A,537,N/A,836
Nathalia,N/A,N/A,N/A,954
Nathalie,N/A,591,N/A,N/A
Nathaly,N/A,815,N/A,N/A
Nathan,29,N/A,57,N/A
Nathanael,583,N/A,777,N/A
Nathaniel,84,N/A,139,N/A
Navy,N/A,N/A,N/A,478
Naya,N/A,N/A,N/A,747
Nayeli,N/A,369,N/A,337
Nehemiah,342,N/A,448,N/A
Neil,623,N/A,765,N/A
Nellie,N/A,N/A,N/A,663
Nelson,560,N/A,797,N/A
Neo,N/A,N/A,947,N/A
Neriah,N/A,N/A,N/A,993
Nevaeh,N/A,39,N/A,95
Neymar,699,N/A,N/A,N/A
Nia,N/A,462,N/A,600
Nicholas,49,N/A,98,N/A
Nickolas,565,N/A,N/A,N/A
Nico,525,N/A,236,N/A
Nicolas,180,N/A,191,N/A
Nicole,N/A,114,N/A,322
Niklaus,N/A,N/A,969,N/A
Niko,690,N/A,287,N/A
Nikolai,607,N/A,583,N/A
Nikolas,488,N/A,598,N/A
Nina,N/A,291,N/A,309
Nixon,653,N/A,728,N/A
Noa,N/A,N/A,N/A,298
Noah,4,N/A,2,618
Noe,591,N/A,756,N/A
Noel,418,N/A,425,N/A
Noelle,N/A,318,N/A,211
Noemi,N/A,670,N/A,643
Nola,N/A,802,N/A,630
Nolan,88,N/A,65,N/A
Noor,N/A,N/A,N/A,773
Nora,N/A,107,N/A,28
Norah,N/A,210,N/A,192
Nori,N/A,N/A,N/A,934
Nova,N/A,625,883,32
Novah,N/A,N/A,N/A,697
Novalee,N/A,N/A,N/A,815
Nyla,N/A,328,N/A,241
Nylah,N/A,445,N/A,430
Nyomi,N/A,N/A,N/A,928
Nyra,N/A,N/A,N/A,969
Oaklee,N/A,N/A,N/A,468
Oakleigh,N/A,N/A,N/A,524
Oakley,880,N/A,394,157
Oaklyn,N/A,N/A,N/A,526
Oaklynn,N/A,N/A,N/A,159
Ocean,N/A,N/A,604,759
Octavia,N/A,N/A,N/A,249
Odin,640,N/A,330,N/A
Olive,N/A,368,N/A,158
Oliver,73,N/A,3,N/A
Olivia,N/A,4,N/A,1
Omar,199,N/A,241,N/A
Omari,711,N/A,536,N/A
Onyx,N/A,N/A,355,N/A
Opal,N/A,N/A,N/A,525
Ophelia,N/A,N/A,N/A,272
Orion,419,N/A,331,N/A
Orlando,461,N/A,809,N/A
Oscar,177,N/A,201,N/A
Osiris,N/A,N/A,977,N/A
Osman,N/A,N/A,972,N/A
Osvaldo,754,N/A,N/A,N/A
Otis,N/A,N/A,613,N/A
Otto,785,N/A,309,N/A
Owen,38,N/A,18,N/A
Ozzy,N/A,N/A,620,N/A
Pablo,367,N/A,413,N/A
Paige,N/A,105,N/A,316
Paislee,N/A,718,N/A,505
Paisley,N/A,104,N/A,53
Paityn,N/A,661,N/A,N/A
Palmer,N/A,N/A,N/A,294
Paloma,N/A,791,N/A,957
Paola,N/A,575,N/A,984
Paris,N/A,274,N/A,488
Parker,80,315,94,115
Patience,N/A,854,N/A,N/A
Patricia,N/A,712,N/A,N/A
Patrick,142,N/A,218,N/A
Paul,193,N/A,262,N/A
Paula,N/A,725,N/A,801
Paulina,N/A,835,N/A,793
Paxton,241,N/A,256,N/A
Payton,458,103,N/A,289
Pearl,N/A,756,N/A,756
Pedro,317,N/A,415,N/A
Penelope,N/A,125,N/A,21
Penny,N/A,N/A,N/A,732
Perla,N/A,452,N/A,N/A
Persephone,N/A,N/A,N/A,689
Peter,205,N/A,214,N/A
Peyton,183,53,535,124
Philip,409,N/A,494,N/A
Phillip,350,N/A,575,N/A
Phoebe,N/A,303,N/A,214
Phoenix,381,573,261,317
Pierce,479,N/A,570,N/A
Piper,N/A,98,N/A,113
Poppy,N/A,N/A,N/A,338
Porter,430,N/A,506,N/A
Presley,N/A,203,N/A,230
Preston,129,N/A,255,N/A
Prince,457,N/A,347,N/A
Princess,N/A,N/A,N/A,970
Princeton,735,N/A,497,N/A
Priscilla,N/A,489,N/A,716
Promise,N/A,N/A,N/A,782
Quentin,440,N/A,654,N/A
Quincy,633,N/A,665,N/A
Quinn,321,153,443,73
Quintin,811,N/A,N/A,N/A
Quinton,526,N/A,757,N/A
Rachael,N/A,889,N/A,N/A
Rachel,N/A,133,N/A,244
Raegan,N/A,294,N/A,324
Raelyn,N/A,449,N/A,381
Raelynn,N/A,341,N/A,100
Rafael,286,N/A,232,N/A
Raiden,529,N/A,352,N/A
Raina,N/A,840,N/A,929
Ramiro,826,N/A,N/A,N/A
Ramon,497,N/A,775,N/A
Ramona,N/A,N/A,N/A,794
Randall,859,N/A,N/A,N/A
Randy,413,N/A,913,N/A
Raphael,626,N/A,483,N/A
Raquel,N/A,626,N/A,N/A
Rashad,832,N/A,N/A,N/A
Raul,402,N/A,553,N/A
Raven,N/A,543,N/A,409
Ray,722,N/A,761,N/A
Raya,N/A,N/A,N/A,402
Rayan,654,N/A,626,N/A
Rayden,758,N/A,680,N/A
Raylan,535,N/A,707,N/A
Raylee,N/A,936,N/A,N/A
Raymond,249,N/A,343,N/A
Rayna,N/A,924,N/A,765
Rayne,N/A,836,N/A,798
Reagan,893,97,N/A,147
Rebecca,N/A,157,N/A,296
Rebekah,N/A,439,N/A,959
Reece,485,N/A,528,N/A
Reed,372,N/A,414,N/A
Reese,549,128,642,168
Regan,N/A,828,N/A,N/A
Regina,N/A,581,N/A,348
Reginald,657,N/A,N/A,N/A
Reid,292,N/A,325,N/A
Reign,N/A,N/A,650,365
Reina,N/A,N/A,N/A,624
Remi,N/A,N/A,742,118
Remington,421,N/A,244,399
Remy,891,N/A,356,601
Renata,N/A,749,N/A,492
Rene,742,N/A,962,N/A
Renee,N/A,897,N/A,N/A
Reuben,973,N/A,858,N/A
Rex,627,N/A,698,N/A
Rey,911,N/A,787,N/A
Reyna,N/A,729,N/A,579
Rhea,N/A,N/A,N/A,597
Rhett,508,N/A,151,N/A
Rhodes,N/A,N/A,922,N/A
Rhys,476,N/A,426,N/A
Ricardo,226,N/A,357,N/A
Richard,124,N/A,219,N/A
Ricky,462,N/A,834,N/A
Ridge,N/A,N/A,532,N/A
Riggs,N/A,N/A,705,N/A
Rihanna,N/A,830,N/A,N/A
Riley,133,47,225,39
Rio,N/A,N/A,561,N/A
River,407,686,105,150
Rivka,N/A,N/A,N/A,799
Riya,N/A,984,N/A,N/A
Robert,61,N/A,84,N/A
Roberto,308,N/A,498,N/A
Robin,N/A,N/A,795,861
Rocco,415,N/A,513,N/A
Rocky,N/A,N/A,888,N/A
Roderick,984,N/A,N/A,N/A
Rodney,592,N/A,985,N/A
Rodolfo,923,N/A,N/A,N/A
Rodrigo,431,N/A,529,N/A
Rogelio,720,N/A,N/A,N/A
Roger,566,N/A,749,N/A
Rohan,602,N/A,816,N/A
Roland,744,N/A,608,N/A
Rolando,883,N/A,N/A,N/A
Roman,159,N/A,68,N/A
Rome,N/A,N/A,656,N/A
Romeo,323,N/A,323,N/A
Romina,N/A,N/A,N/A,656
Ronald,379,N/A,559,N/A
Ronan,456,N/A,266,N/A
Ronin,771,N/A,421,N/A
Ronnie,712,N/A,N/A,N/A
Rory,481,N/A,280,335
Rosa,N/A,614,N/A,605
Rosalee,N/A,N/A,N/A,958
Rosalia,N/A,N/A,N/A,595
Rosalie,N/A,406,N/A,176
Rosalina,N/A,N/A,N/A,925
Rosalyn,N/A,N/A,N/A,938
Rose,N/A,261,N/A,120
Roselyn,N/A,849,N/A,824
Rosemary,N/A,603,N/A,367
Rosie,N/A,N/A,N/A,424
Ross,960,N/A,N/A,N/A
Rowan,301,455,96,276
Rowen,887,N/A,522,N/A
Rowyn,N/A,N/A,N/A,971
Roy,561,N/A,577,N/A
Royal,N/A,N/A,370,864
Royalty,N/A,N/A,N/A,427
Royce,493,N/A,417,N/A
Ruben,329,N/A,459,N/A
Ruby,N/A,106,N/A,62
Rudy,798,N/A,853,N/A
Russell,426,N/A,374,N/A
Ruth,N/A,344,N/A,179
Ryan,26,607,74,582
Ryann,N/A,789,N/A,975
Ryatt,N/A,N/A,935,N/A
Ryder,100,N/A,116,N/A
Ryker,219,N/A,175,N/A
Rylan,179,744,376,989
Ryland,478,N/A,669,N/A
Rylee,842,109,N/A,107
Ryleigh,N/A,184,N/A,190
Rylen,953,N/A,N/A,N/A
Rylie,N/A,367,N/A,447
Saanvi,N/A,898,N/A,978
Sabrina,N/A,275,N/A,413
Sadie,N/A,120,N/A,68
Sage,725,494,391,144
Saige,N/A,932,N/A,397
Saint,N/A,N/A,361,N/A
Salem,N/A,N/A,681,453
Salma,N/A,785,N/A,894
Salvador,548,N/A,708,N/A
Salvatore,912,N/A,880,N/A
Sam,518,N/A,658,N/A
Samantha,N/A,26,N/A,106
Samara,N/A,570,N/A,299
Samir,761,N/A,591,N/A
Samira,N/A,N/A,N/A,778
Samiyah,N/A,821,N/A,N/A
Samson,803,N/A,585,N/A
Samuel,25,N/A,20,N/A
Sandra,N/A,679,N/A,N/A
Saniya,N/A,880,N/A,N/A
Saniyah,N/A,681,N/A,N/A
Santana,N/A,N/A,690,N/A
Santiago,122,N/A,48,N/A
Santino,611,N/A,453,N/A
Santos,954,N/A,874,N/A
Saoirse,N/A,N/A,N/A,901
Sapphire,N/A,N/A,N/A,910
Sara,N/A,143,N/A,177
Sarah,N/A,43,N/A,94
Sarahi,N/A,971,N/A,963
Sarai,N/A,414,N/A,428
Sariah,N/A,649,N/A,902
Sariyah,N/A,905,N/A,730
Sasha,N/A,451,N/A,640
Saul,414,N/A,510,N/A
Savanna,N/A,447,N/A,746
Savannah,N/A,42,N/A,76
Sawyer,147,548,131,240
Saylor,N/A,N/A,N/A,207
Scarlet,N/A,401,N/A,433
Scarlett,N/A,61,N/A,14
Scarlette,N/A,956,N/A,962
Scott,386,N/A,588,N/A
Scottie,N/A,N/A,N/A,922
Scout,N/A,N/A,N/A,693
Seamus,839,N/A,N/A,N/A
Sean,144,N/A,397,N/A
Sebastian,64,N/A,13,N/A
Selah,N/A,534,N/A,364
Selena,N/A,304,N/A,239
Selene,N/A,N/A,N/A,691
Semaj,773,N/A,N/A,N/A
Serena,N/A,443,N/A,386
Serenity,N/A,58,N/A,96
Sergio,283,N/A,382,N/A
Seth,209,N/A,479,N/A
Seven,N/A,N/A,754,N/A
Sevyn,N/A,N/A,842,591
Shane,248,N/A,511,N/A
Shannon,N/A,816,N/A,N/A
Sharon,N/A,822,N/A,N/A
Shaun,629,N/A,N/A,N/A
Shawn,272,N/A,568,N/A
Shay,N/A,N/A,N/A,912
Shayla,N/A,612,N/A,N/A
Shelby,N/A,218,N/A,594
Sheldon,944,N/A,N/A,N/A
Shepard,N/A,N/A,914,N/A
Shepherd,N/A,N/A,493,N/A
Sherlyn,N/A,638,N/A,N/A
Shiloh,N/A,640,488,344
Shmuel,N/A,N/A,936,N/A
Sidney,921,831,N/A,N/A
Siena,N/A,630,N/A,720
Sienna,N/A,241,N/A,135
Sierra,N/A,278,N/A,551
Silas,161,N/A,87,N/A
Simeon,980,N/A,N/A,N/A
Simon,255,N/A,242,N/A
Simone,N/A,656,N/A,960
Sincere,703,N/A,544,N/A
Sky,N/A,856,N/A,738
Skye,N/A,448,N/A,416
Skyla,N/A,509,N/A,757
Skylar,569,87,N/A,87
Skyler,290,372,670,541
Sloan,N/A,978,N/A,636
Sloane,N/A,480,N/A,140
Sofia,N/A,18,N/A,13
Sofie,N/A,996,N/A,N/A
Sol,N/A,N/A,N/A,837
Soleil,N/A,N/A,N/A,990
Solomon,441,N/A,440,N/A
Sonia,N/A,812,N/A,N/A
Sonny,927,N/A,429,N/A
Sophia,N/A,1,N/A,5
Sophie,N/A,52,N/A,63
Soren,622,N/A,530,N/A
Spencer,234,N/A,338,N/A
Stanley,733,N/A,778,N/A
Stefan,936,N/A,948,N/A
Stella,N/A,62,N/A,40
Stephanie,N/A,168,N/A,481
Stephen,228,N/A,359,N/A
Sterling,684,N/A,401,N/A
Stetson,N/A,N/A,238,N/A
Steve,762,N/A,N/A,N/A
Steven,112,N/A,257,N/A
Stevie,N/A,N/A,N/A,263
Stone,N/A,N/A,982,N/A
Stormi,N/A,N/A,N/A,818
Sullivan,490,N/A,365,N/A
Summer,N/A,176,N/A,153
Sunny,N/A,N/A,N/A,552
Susan,N/A,839,N/A,N/A
Sutton,N/A,N/A,526,216
Sydney,N/A,78,N/A,271
Sylas,624,N/A,485,N/A
Sylvia,N/A,526,N/A,435
Sylvie,N/A,N/A,N/A,436
Tabitha,N/A,771,N/A,N/A
Tadeo,N/A,N/A,519,N/A
Talia,N/A,388,N/A,303
Taliyah,N/A,714,N/A,N/A
Talon,517,N/A,931,N/A
Tamia,N/A,937,N/A,N/A
Tanner,178,N/A,410,N/A
Tara,N/A,803,N/A,N/A
Taraji,N/A,855,N/A,N/A
Taryn,N/A,804,N/A,N/A
Tate,391,N/A,234,N/A
Tatiana,N/A,473,N/A,N/A
Tatum,597,330,318,274
Taylor,346,46,621,217
Taytum,N/A,N/A,N/A,770
Teagan,755,258,N/A,286
Temperance,N/A,843,N/A,N/A
Tenley,N/A,520,N/A,N/A
Teo,N/A,N/A,945,N/A
Teresa,N/A,608,N/A,871
Terrance,589,N/A,N/A,N/A
Terrell,678,N/A,N/A,N/A
Terrence,705,N/A,N/A,N/A
Terry,543,N/A,975,N/A
Tess,N/A,997,N/A,N/A
Tessa,N/A,235,N/A,332
Thaddeus,903,N/A,807,N/A
Thalia,N/A,929,N/A,642
Thatcher,N/A,N/A,965,N/A
Thea,N/A,N/A,N/A,300
Theo,794,N/A,99,N/A
Theodora,N/A,N/A,N/A,694
Theodore,197,N/A,10,N/A
Thiago,862,N/A,106,N/A
Thomas,63,N/A,45,N/A
Tia,N/A,966,N/A,N/A
Tiana,N/A,444,N/A,661
Tiffany,N/A,370,N/A,935
Timothy,120,N/A,203,N/A
Tinley,N/A,974,N/A,N/A
Tinsley,N/A,N/A,N/A,916
Titan,961,N/A,847,N/A
Titus,360,N/A,362,N/A
Tobias,516,N/A,276,N/A
Toby,672,N/A,N/A,N/A
Todd,892,N/A,N/A,N/A
Tomas,658,N/A,691,N/A
Tommy,631,N/A,729,N/A
Tony,428,N/A,699,N/A
Tori,N/A,675,N/A,N/A
Trace,635,N/A,703,N/A
Travis,212,N/A,383,N/A
Treasure,N/A,N/A,N/A,761
Trent,380,N/A,N/A,N/A
Trenton,239,N/A,781,N/A
Trevon,924,N/A,N/A,N/A
Trevor,203,N/A,537,N/A
Trey,393,N/A,646,N/A
Trinity,N/A,93,N/A,310
Tripp,645,N/A,437,N/A
Tristan,89,N/A,226,N/A
Tristen,359,N/A,N/A,N/A
Tristian,673,N/A,N/A,N/A
Tristin,800,N/A,N/A,N/A
Triston,676,N/A,N/A,N/A
Troy,259,N/A,477,N/A
Tru,N/A,N/A,644,948
Truett,N/A,N/A,745,N/A
Truman,929,N/A,N/A,N/A
Trystan,978,N/A,N/A,N/A
Tucker,185,N/A,197,N/A
Turner,969,N/A,N/A,N/A
Ty,349,N/A,718,N/A
Tyler,50,N/A,164,N/A
Tyree,962,N/A,N/A,N/A
Tyrell,948,N/A,N/A,N/A
Tyrone,795,N/A,N/A,N/A
Tyson,263,N/A,392,N/A
Ulises,726,N/A,N/A,N/A
Uriah,574,N/A,696,N/A
Uriel,482,N/A,486,N/A
Urijah,665,N/A,N/A,N/A
Vada,N/A,N/A,N/A,851
Valentin,897,N/A,803,N/A
Valentina,N/A,165,N/A,56
Valentino,812,N/A,509,N/A
Valeria,N/A,148,N/A,146
Valerie,N/A,169,N/A,148
Valery,N/A,N/A,N/A,802
Van,850,N/A,949,N/A
Vance,841,N/A,978,N/A
Vanessa,N/A,122,N/A,311
Vaughn,873,N/A,N/A,N/A
Veda,N/A,N/A,N/A,892
Vera,N/A,500,N/A,224
Veronica,N/A,316,N/A,405
Vicente,714,N/A,682,N/A
Victor,135,N/A,213,N/A
Victoria,N/A,28,N/A,43
Vida,N/A,N/A,N/A,972
Vienna,N/A,N/A,N/A,682
Vihaan,646,N/A,900,N/A
Vincent,104,N/A,123,N/A
Vincenzo,746,N/A,683,N/A
Violet,N/A,89,N/A,20
Violeta,N/A,N/A,N/A,740
Virginia,N/A,579,N/A,540
Vivian,N/A,141,N/A,103
Viviana,N/A,478,N/A,383
Vivienne,N/A,322,N/A,306
Wade,553,N/A,346,N/A
Walker,411,N/A,78,N/A
Wallace,N/A,N/A,966,N/A
Walter,376,N/A,269,N/A
Warren,473,N/A,335,N/A
Watson,N/A,N/A,730,N/A
Waverly,N/A,N/A,N/A,750
Waylen,N/A,N/A,891,N/A
Waylon,326,N/A,66,N/A
Wayne,780,N/A,769,N/A
Wells,N/A,N/A,466,N/A
Wendy,N/A,768,N/A,N/A
Wes,N/A,N/A,798,N/A
Wesley,155,N/A,70,N/A
Wesson,N/A,N/A,923,N/A
Westin,756,N/A,648,N/A
Westley,N/A,N/A,719,N/A
Weston,171,N/A,82,N/A
Westyn,N/A,N/A,932,N/A
Whitley,N/A,N/A,N/A,886
Whitney,N/A,565,N/A,N/A
Wilder,N/A,N/A,373,N/A
Will,674,N/A,N/A,N/A
Willa,N/A,723,N/A,396
William,5,N/A,6,N/A
Willie,643,N/A,N/A,N/A
Willow,N/A,171,N/A,37
Wilson,599,N/A,689,N/A
Winnie,N/A,N/A,N/A,592
Winona,N/A,N/A,N/A,980
Winston,616,N/A,420,N/A
Winter,N/A,772,N/A,304
Wren,N/A,N/A,N/A,184
Wrenlee,N/A,N/A,N/A,712
Wrenley,N/A,N/A,N/A,284
Wyatt,41,N/A,38,N/A
Wylder,N/A,N/A,863,N/A
Wynter,N/A,N/A,N/A,356
Xander,216,N/A,199,N/A
Xavi,867,N/A,N/A,N/A
Xavier,81,N/A,100,N/A
Ximena,N/A,214,N/A,143
Xiomara,N/A,N/A,N/A,494
Xyla,N/A,N/A,N/A,979
Xzavier,614,N/A,N/A,N/A
Yael,878,N/A,993,N/A
Yahir,514,N/A,836,N/A
Yahya,N/A,N/A,938,N/A
Yamileth,N/A,796,N/A,867
Yandel,974,N/A,N/A,N/A
Yara,N/A,N/A,N/A,571
Yareli,N/A,588,N/A,672
Yaretzi,N/A,299,N/A,489
Yaritza,N/A,776,N/A,N/A
Yasmin,N/A,735,N/A,906
Yehuda,933,N/A,773,N/A
Yesenia,N/A,899,N/A,N/A
Yisroel,N/A,N/A,970,N/A
Yosef,716,N/A,666,N/A
Yousef,888,N/A,906,N/A
Yusuf,628,N/A,569,N/A
Zachariah,437,N/A,533,N/A
Zachary,68,N/A,166,N/A
Zackary,507,N/A,N/A,N/A
Zahir,N/A,N/A,850,N/A
Zahra,N/A,957,N/A,606
Zaid,937,N/A,659,N/A
Zaiden,433,N/A,487,N/A
Zain,713,N/A,556,N/A
Zainab,N/A,N/A,N/A,917
Zaire,964,N/A,495,N/A
Zakai,N/A,N/A,710,N/A
Zamir,N/A,N/A,833,N/A
Zander,250,N/A,310,N/A
Zane,224,N/A,258,N/A
Zaniyah,N/A,810,N/A,812
Zara,N/A,556,N/A,201
Zaria,N/A,857,N/A,767
Zariah,N/A,472,N/A,477
Zariyah,N/A,781,N/A,596
Zavier,817,N/A,943,N/A
Zayd,N/A,N/A,731,N/A
Zayden,229,N/A,186,N/A
Zayla,N/A,N/A,N/A,834
Zaylee,N/A,N/A,N/A,713
Zayn,N/A,N/A,275,N/A
