NAME,BOYS 2012 RANK,GIRLS 2012 RANK,BOYS 2022 RANK,GIRLS 2022 RANK
Bentley,75,N/A,172,N/A
Bently,637,N/A,N/A,N/A
Benton,879,N/A,N/A,N/A
Berkley,N/A,N/A,N/A,820
Bethany,N/A,352,N/A,666
Bexley,N/A,N/A,N/A,897
Bianca,N/A,312,N/A,426
Billie,N/A,N/A,N/A,949
Billy,662,N/A,N/A,N/A
Birdie,N/A,N/A,N/A,803
Bjorn,N/A,N/A,776,N/A
Blaine,578,N/A,N/A,N/A
Blair,N/A,872,N/A,282
Blaire,N/A,N/A,N/A,562
Blaise,918,N/A,N/A,N/A
Blake,71,694,228,200
Blakely,N/A,545,N/A,167
Blaze,752,N/A,752,N/A
Bo,786,N/A,492,N/A
Bobby,715,N/A,N/A,N/A
Bode,N/A,N/A,960,N/A
Boden,N/A,N/A,859,N/A
Bodhi,894,N/A,301,N/A
Bodie,N/A,N/A,484,N/A
Bonnie,N/A,N/A,N/A,529
Boone,N/A,N/A,602,N/A
Boston,538,N/A,617,N/A
Bowen,619,N/A,389,N/A
Braden,303,N/A,937,N/A
Bradley,169,N/A,344,N/A
Brady,136,N/A,281,N/A
Bradyn,970,N/A,N/A,N/A
Braeden,581,N/A,N/A,N/A
Braelyn,N/A,446,N/A,865
Braelynn,N/A,601,N/A,574
Braiden,604,N/A,N/A,N/A
Branden,851,N/A,N/A,N/A
Brandon,56,N/A,211,N/A
Branson,691,N/A,N/A,N/A
Brantley,158,N/A,314,N/A
Braxton,125,N/A,157,N/A
Brayan,499,N/A,782,N/A
Brayden,39,N/A,149,N/A
Braydon,398,N/A,N/A,N/A
Braylee,N/A,541,N/A,N/A
Braylen,324,N/A,548,N/A
Braylon,279,N/A,584,N/A
Breanna,N/A,403,N/A,N/A
Brecken,860,N/A,919,N/A
Bree,N/A,968,N/A,N/A
Brenda,N/A,538,N/A,N/A
Brendan,300,N/A,884,N/A
Brenden,500,N/A,N/A,N/A
Brendon,799,N/A,N/A,N/A
Brenna,N/A,623,N/A,N/A
Brennan,318,N/A,990,N/A
Brennen,766,N/A,N/A,N/A
Brent,730,N/A,N/A,N/A
Brentley,750,N/A,N/A,N/A
Brenton,904,N/A,N/A,N/A
Brett,598,N/A,N/A,N/A
Bria,N/A,647,N/A,758
Brian,139,N/A,290,N/A
Briana,N/A,297,N/A,539
Brianna,N/A,51,N/A,171
Briar,N/A,N/A,743,533
Brice,930,N/A,N/A,N/A
Bridger,938,N/A,738,N/A
Bridget,N/A,453,N/A,791
Briella,N/A,375,N/A,350
Brielle,N/A,111,N/A,116
Briggs,966,N/A,386,N/A
Briley,N/A,703,N/A,N/A
Brinley,N/A,496,N/A,451
Brisa,N/A,912,N/A,N/A
Bristol,N/A,431,N/A,512
Britney,N/A,893,N/A,N/A
Brittany,N/A,407,N/A,848
Brixton,N/A,N/A,607,N/A
